Model,Parameter,Value,Data_Type
XGBoost,max_depth,10.0,int
XGBoost,learning_rate,0.15149474989073744,float
XGBoost,n_estimators,950.0,int
XGBoost,subsample,0.9837449202633133,float
XGBoost,colsample_bytree,0.9687855964604112,float
XGBoost,min_child_weight,1.0,int
XGBoost,gamma,0.02814941578475838,float
XGBoost,reg_lambda,2.658057836786773,float
XGBoost,reg_alpha,0.9034293188414783,float
XGBoost,scale_pos_weight,16.561958728737206,float
LightGBM,num_leaves,131.0,int
LightGBM,learning_rate,0.15289754828681476,float
LightGBM,n_estimators,850.0,int
LightGBM,subsample,0.8925678643036971,float
LightGBM,colsample_bytree,0.9588639467917393,float
LightGBM,min_child_samples,10.0,int
LightGBM,reg_lambda,0.05284398817916424,float
LightGBM,reg_alpha,0.3836790936017326,float
CatBoost,depth,9.0,int
CatBoost,learning_rate,0.29275952251191856,float
CatBoost,iterations,950.0,int
CatBoost,subsample,0.8170821658655648,float
CatBoost,colsample_bylevel,0.9804330513392362,float
CatBoost,min_data_in_leaf,94.0,int
CatBoost,l2_leaf_reg,2.50513559059101,float
HistGradientBoosting,learning_rate,0.24937991169021478,float
HistGradientBoosting,max_depth,14.0,int
HistGradientBoosting,max_iter,400.0,int
HistGradientBoosting,min_samples_leaf,69.0,int
HistGradientBoosting,l2_regularization,0.16912777350174657,float
RandomForest,n_estimators,450.0,int
RandomForest,max_depth,30.0,int
RandomForest,max_features,,NoneType
RandomForest,min_samples_split,5.0,int
RandomForest,min_samples_leaf,3.0,int
ExtraTrees,n_estimators,150.0,int
ExtraTrees,max_depth,30.0,int
ExtraTrees,max_features,,NoneType
ExtraTrees,min_samples_split,8.0,int
ExtraTrees,min_samples_leaf,2.0,int
