table,column,dtype
beneficiaries,BeneID,string
beneficiaries,DOB,datetime64[ns]
beneficiaries,DOD,datetime64[ns]
beneficiaries,is_deceased,Int8
beneficiaries,Gender,datetime64[ns]
beneficiaries,Race,int64
beneficiaries,State,int64
beneficiaries,County,int64
beneficiaries,NoOfMonths_PartACov,int64
beneficiaries,NoOfMonths_PartBCov,int64
beneficiaries,ChronicCond_Alzheimer,Int8
beneficiaries,ChronicCond_Heartfailure,Int8
beneficiaries,ChronicCond_KidneyDisease,Int8
beneficiaries,ChronicCond_Cancer,Int8
beneficiaries,ChronicCond_ObstrPulmonary,Int8
beneficiaries,ChronicCond_Depression,Int8
beneficiaries,ChronicCond_Diabetes,Int8
beneficiaries,ChronicCond_IschemicHeart,Int8
beneficiaries,ChronicCond_Osteoporasis,Int8
beneficiaries,ChronicCond_rheumatoidarthritis,Int8
beneficiaries,ChronicCond_stroke,Int8
claims,AdmissionDt,object
claims,AttendingPhysician,datetime64[ns]
claims,BeneID,string
claims,ClaimEndDt,datetime64[ns]
claims,ClaimID,string
claims,ClaimStartDt,datetime64[ns]
claims,ClmAdmitDiagnosisCode,object
claims,ClmDiagnosisCode_1,string
claims,ClmDiagnosisCode_10,string
claims,ClmDiagnosisCode_2,string
claims,ClmDiagnosisCode_3,string
claims,ClmDiagnosisCode_4,string
claims,ClmDiagnosisCode_5,string
claims,ClmDiagnosisCode_6,string
claims,ClmDiagnosisCode_7,string
claims,ClmDiagnosisCode_8,string
claims,ClmDiagnosisCode_9,string
claims,ClmProcedureCode_1,string
claims,ClmProcedureCode_2,string
claims,ClmProcedureCode_3,string
claims,ClmProcedureCode_4,string
claims,ClmProcedureCode_5,string
claims,ClmProcedureCode_6,string
claims,DeductibleAmtPaid,float64
claims,DiagnosisGroupCode,object
claims,DischargeDt,object
claims,InscClaimAmtReimbursed,int64
claims,OperatingPhysician,object
claims,OtherPhysician,object
claims,Provider,object
claims,claim_setting,object
claims,deductible_paid_flag,Int8
claims,log_reimb,float64
claims,n_procs_recorded,int64
