feature,XGBoost_importance,importance_std_x,LightGBM_importance,importance_std_y,CatBoost_importance,importance_std,mean_importance,XGBoost_rank,LightGBM_rank,CatBoost_rank,mean_rank
provider_mean_reimbursed,0.0891949,0.0014698392,5014.2,104.11032609688628,44.60582322556828,0.6462606950552835,860.6088457930076,1.0,1.0,1.0,1.0
state,0.07390183,0.0017958481,4141.4,94.16283768026534,35.76997046098697,0.4090845330341675,711.9695983924204,2.0,3.0,2.0,2.3333333333333335
county,0.048908453,0.0015382483,4184.8,47.721693180355615,18.03788298802088,0.38173631564672517,708.4986265309543,3.0,2.0,3.0,2.6666666666666665
opannualdeductibleamt,0.0076305745,0.00016999891,187.0,20.268201696253172,0.08268270427399262,0.024584636848544065,34.56387826846677,13.0,4.0,6.0,7.666666666666667
op_reimb_deduct_ratio,0.006876568,7.777569e-05,135.8,28.867975336001656,0.009800232460279357,0.003997003566757914,27.448121152593302,31.0,5.0,41.0,25.666666666666668
age_at_claim,0.0070258505,0.00012596152,133.0,18.51485889765299,0.07085204677622121,0.027191851954359445,25.270009101396408,24.0,6.0,8.0,12.666666666666666
opannualreimbursementamt,0.0073362975,0.00015486302,106.4,9.478396488858229,0.05018766804680654,0.017535143779693462,19.325601743541203,17.0,7.0,13.0,12.333333333333334
ip_reimb_deduct_ratio,0.0071403645,0.00022073666,88.2,15.979987484350545,0.03870985785322912,0.017805534746751592,17.373977329685292,21.0,8.0,18.0,15.666666666666666
diagnosisgroupcode,0.015323425,0.0006835669,88.2,10.067770358922575,0.04906313848412579,0.017826141187925987,16.391777771701847,5.0,8.0,15.0,9.333333333333334
inscclaimamtreimbursed,0.006460582,0.00022989513,82.6,6.740919818541086,0.035590366490041825,0.022245307119383318,14.900907661531015,48.0,10.0,21.0,26.333333333333332
ipannualreimbursementamt,0.0071141697,0.0002708916,67.0,13.431306712304652,0.0522309381287408,0.015115507059576915,13.41767303646016,23.0,11.0,12.0,15.333333333333334
admit_los_days,0.012313671,0.00047915027,61.8,7.4404300950953095,0.025510422947189144,0.011987924009376866,11.548453543955732,6.0,12.0,28.0,15.333333333333334
opannualreimbursementamt_arcsinh,0.007614857,0.00022114045,56.6,12.595237195067032,0.04941357151969023,0.013141109446200007,11.544271312255718,14.0,14.0,14.0,14.0
num_chronic_conditions,0.0068513155,0.00021835191,57.6,6.499230723708768,0.0580348466358519,0.009479302522326491,10.69563575671255,35.0,13.0,10.0,19.333333333333332
deductibleamtpaid,0.016576745,0.0023006336,54.4,6.887670143089026,0.07796691503107148,0.030841864321682923,10.235892716773504,4.0,15.0,7.0,8.666666666666666
